micro_market_id,country,region,city,district,lat,lng,population_index,affluence_index,construction_velocity_index,infrastructure_spend_index,industrial_cluster_index,retail_density_index,channel_mix_modern_pct,channel_mix_gt_pct,competitive_intensity_index,logistics_access_index,demand_proxy_index,growth_proxy_index
MM-IN-MUM-001,India,South,Mumbai,District-4,24.8688,83.1579,44,88,79,81,28,59,38,76,68,83,58,44
MM-IN-BEN-002,India,West,Bengaluru,District-1,24.621,82.1066,77,54,93,88,74,42,43,32,31,74,78,92
MM-SA-RIY-003,Saudi,KSA,Riyadh,District-7,22.9637,43.1651,46,61,44,73,50,84,55,45,82,82,55,48
MM-IN-BEN-004,India,North,Bengaluru,District-7,19.118,75.1985,79,71,75,80,52,66,26,35,70,60,66,79
MM-IN-MUM-005,India,West,Mumbai,District-7,22.4286,80.9473,41,59,43,56,79,45,22,44,42,73,66,80
MM-SA-JED-006,Saudi,KSA,Jeddah,District-6,23.2511,46.9542,48,36,35,76,52,40,45,37,72,59,54,49
MM-UA-ABU-007,UAE,UAE,Abu Dhabi,District-3,23.4473,50.5259,88,84,75,47,87,80,55,52,40,36,88,59
MM-IN-DEL-008,India,South,Delhi,District-5,20.4477,81.2675,82,76,76,58,63,67,52,34,51,32,62,51
MM-IN-DEL-009,India,West,Delhi,District-7,18.8272,81.4023,86,66,52,68,21,92,44,69,26,61,61,90
MM-IN-MUM-010,India,North,Mumbai,District-8,21.7879,76.2716,66,59,31,83,82,39,47,35,70,48,72,77
MM-SA-JED-011,Saudi,KSA,Jeddah,District-7,20.8619,48.0761,51,37,66,54,78,82,35,77,41,63,46,90
MM-IN-MUM-012,India,North,Mumbai,District-1,21.4808,87.878,84,76,87,88,56,50,58,63,48,36,78,47
MM-IN-BEN-013,India,South,Bengaluru,District-2,18.9821,85.2978,47,44,68,86,33,50,58,78,57,39,30,44
MM-SA-RIY-014,Saudi,KSA,Riyadh,District-3,25.4213,39.3402,74,66,42,82,70,78,26,36,89,55,49,61
MM-UA-ABU-015,UAE,UAE,Abu Dhabi,District-6,25.8225,51.7187,86,36,66,71,27,39,40,78,64,90,82,60
MM-UA-ABU-016,UAE,UAE,Abu Dhabi,District-3,22.0713,50.6549,79,47,64,69,80,69,40,48,51,72,86,59
MM-IN-JAK-017,Indonesia,Sumatra,Jakarta,District-7,0.5198,112.7141,45,38,68,39,77,50,27,76,32,48,39,37
MM-IN-JAK-018,Indonesia,Sumatra,Jakarta,District-7,-6.0058,107.5718,69,72,55,50,55,86,62,32,33,45,46,67
MM-IN-MUM-019,India,South,Mumbai,District-8,18.394,77.9778,45,80,33,90,26,84,65,78,80,80,71,80
MM-UA-ABU-020,UAE,UAE,Abu Dhabi,District-2,24.1443,53.0853,82,60,55,71,38,39,43,50,37,53,53,51
MM-SA-RIY-021,Saudi,KSA,Riyadh,District-7,25.4859,41.2656,85,61,51,64,79,72,60,56,67,48,77,43
MM-IN-BAN-022,Indonesia,Sumatra,Bandung,District-8,22.9859,107.1889,44,74,35,90,29,92,60,59,78,81,91,46
MM-UA-ABU-023,UAE,UAE,Abu Dhabi,District-5,22.3802,53.697,48,66,67,60,56,79,59,54,64,90,37,37
MM-UA-DUB-024,UAE,UAE,Dubai,District-8,24.6315,52.5116,73,53,88,79,38,53,35,37,31,90,58,54
MM-IN-BAN-025,Indonesia,Java,Bandung,District-3,11.9078,114.4253,63,55,94,76,86,37,62,61,29,68,74,30
MM-IN-SUR-026,Indonesia,Java,Surabaya,District-8,21.7144,108.6582,62,51,89,80,27,94,63,44,82,36,94,73
MM-SA-RIY-027,Saudi,KSA,Riyadh,District-6,20.7235,47.8674,41,48,39,80,33,89,52,31,20,33,69,82
MM-IN-JAK-028,Indonesia,Java,Jakarta,District-7,-5.9397,113.2087,86,77,75,84,22,43,26,55,75,70,85,40
MM-IN-JAK-029,Indonesia,Sumatra,Jakarta,District-2,1.7473,112.3891,89,68,33,70,22,87,55,38,26,41,93,59
MM-UA-ABU-030,UAE,UAE,Abu Dhabi,District-4,24.5456,53.4345,87,51,67,75,65,91,27,55,50,60,37,38
MM-IN-DEL-031,India,South,Delhi,District-7,20.4376,78.8465,71,57,56,44,61,50,21,50,55,44,67,66
MM-UA-ABU-032,UAE,UAE,Abu Dhabi,District-6,24.5918,53.9146,55,78,65,58,63,53,45,66,86,89,62,63
MM-SA-JED-033,Saudi,KSA,Jeddah,District-4,22.5156,47.2112,45,38,84,33,39,51,28,45,75,30,83,85
MM-SA-RIY-034,Saudi,KSA,Riyadh,District-3,21.2289,44.6092,45,55,92,94,74,50,54,65,49,71,30,43
MM-IN-SUR-035,Indonesia,Sumatra,Surabaya,District-2,-2.0274,113.5267,89,65,84,94,29,59,39,34,76,58,60,39
