micro_market_id,country,region,city,district,lat,lng,population_index,affluence_index,construction_velocity_index,infrastructure_spend_index,industrial_cluster_index,retail_density_index,channel_mix_modern_pct,channel_mix_gt_pct,competitive_intensity_index,logistics_access_index,demand_proxy_index,growth_proxy_index,coverage_index_0_1,sell_in_proxy,sell_out_proxy,attractiveness_score_0_100,whitespace_score_0_100,recommended_distributor_count,current_distributor_count,distributor_gap,why_now,data_readiness_0_100
MM-SA-JED-039,Saudi,KSA,Jeddah,District-4,26.0915,47.9366,76,87,80,86,27,77,42,57,69,93,93,48,0.0,0.0,0.0,66.4,71.4,2,0,2,strong demand | construction momentum | serviceability | low current coverage,100
MM-IN-BAN-040,Indonesia,Sumatra,Bandung,District-6,4.4737,107.1148,42,77,61,94,52,93,40,69,26,66,82,90,0.0,0.0,0.0,72.3,71.3,2,0,2,strong demand | high growth | serviceability | lower competition,100
MM-IN-SUR-058,Indonesia,Java,Surabaya,District-5,8.863,108.335,42,61,92,72,54,37,32,44,77,86,88,93,0.0,0.0,0.0,64.8,68.8,2,0,2,strong demand | high growth | construction momentum | serviceability,100
MM-IN-SUR-026,Indonesia,Java,Surabaya,District-8,21.7144,108.6582,62,51,89,80,27,94,63,44,82,36,94,73,0.0,0.0,0.0,61.0,68.2,2,0,2,strong demand | high growth | construction momentum | low current coverage,100
MM-UA-DUB-055,UAE,UAE,Dubai,District-2,25.4359,55.4755,63,75,87,54,56,78,56,69,62,36,88,86,0.0,0.0,0.0,61.9,66.9,2,0,2,strong demand | high growth | construction momentum | low current coverage,100
MM-IN-BEN-002,India,West,Bengaluru,District-1,24.621,82.1066,77,54,93,88,74,42,43,32,31,74,78,92,0.0,0.0,0.0,66.7,66.0,2,0,2,strong demand | high growth | construction momentum | serviceability,100
MM-IN-BAN-022,Indonesia,Sumatra,Bandung,District-8,22.9859,107.1889,44,74,35,90,29,92,60,59,78,81,91,46,0.0,0.0,0.0,58.9,65.9,2,0,2,strong demand | serviceability | low current coverage,100
MM-UA-ABU-007,UAE,UAE,Abu Dhabi,District-3,23.4473,50.5259,88,84,75,47,87,80,55,52,40,36,88,59,0.0,0.0,0.0,57.6,64.1,2,0,2,strong demand | high growth | construction momentum | lower competition,100
MM-SA-JED-041,Saudi,KSA,Jeddah,District-8,20.2958,42.0997,45,72,76,80,80,78,60,32,37,70,85,30,0.0,0.0,0.0,59.1,63.9,2,0,2,strong demand | construction momentum | serviceability | lower competition,100
MM-SA-JED-043,Saudi,KSA,Jeddah,District-1,22.7354,45.894,80,89,49,56,29,67,69,65,64,55,89,62,0.0,0.0,0.0,55.6,63.1,2,0,2,strong demand | high growth | low current coverage,100
MM-UA-ABU-016,UAE,UAE,Abu Dhabi,District-3,22.0713,50.6549,79,47,64,69,80,69,40,48,51,72,86,59,0.0,0.0,0.0,56.0,62.3,2,0,2,strong demand | high growth | serviceability | lower competition,100
MM-IN-MUM-042,India,South,Mumbai,District-7,23.4183,72.4737,84,71,45,85,44,85,34,59,49,47,87,42,0.0,0.0,0.0,55.0,62.1,2,0,2,strong demand | lower competition | low current coverage,100
MM-IN-JAK-028,Indonesia,Java,Jakarta,District-7,-5.9397,113.2087,86,77,75,84,22,43,26,55,75,70,85,40,0.0,0.0,0.0,54.9,61.2,2,0,2,strong demand | construction momentum | serviceability | low current coverage,100
MM-IN-MUM-019,India,South,Mumbai,District-8,18.394,77.9778,45,80,33,90,26,84,65,78,80,80,71,80,0.0,0.0,0.0,60.6,58.8,2,0,2,strong demand | high growth | serviceability | low current coverage,100
MM-IN-MUM-012,India,North,Mumbai,District-1,21.4808,87.878,84,76,87,88,56,50,58,63,48,36,78,47,0.0,0.0,0.0,55.1,58.5,1,0,1,strong demand | construction momentum | lower competition | low current coverage,100
MM-IN-BEN-053,India,North,Bengaluru,District-1,22.7565,76.7161,73,80,31,68,36,86,32,60,61,55,74,77,0.0,0.0,0.0,56.2,57.3,2,0,2,strong demand | high growth | low current coverage,100
MM-IN-JAK-054,Indonesia,Sumatra,Jakarta,District-7,27.403,109.7735,65,35,81,63,48,36,64,49,71,39,92,41,0.0,0.0,0.0,44.1,56.7,1,0,1,strong demand | construction momentum | low current coverage,100
MM-IN-BEN-056,India,South,Bengaluru,District-4,18.7989,75.2704,41,88,54,76,82,55,35,60,63,56,69,90,0.0,0.0,0.0,58.1,56.2,1,0,1,strong demand | high growth | low current coverage,100
MM-SA-JED-033,Saudi,KSA,Jeddah,District-4,22.5156,47.2112,45,38,84,33,39,51,28,45,75,30,83,85,0.0,0.0,0.0,48.2,56.1,1,0,1,strong demand | high growth | construction momentum | low current coverage,100
MM-UA-ABU-059,UAE,UAE,Abu Dhabi,District-4,25.812,50.4309,55,65,36,84,63,65,28,42,32,85,67,77,0.0,0.0,0.0,59.2,56.0,2,0,2,strong demand | high growth | serviceability | lower competition,100
MM-SA-RIY-027,Saudi,KSA,Riyadh,District-6,20.7235,47.8674,41,48,39,80,33,89,52,31,20,33,69,82,0.0,0.0,0.0,54.6,53.9,2,0,2,strong demand | high growth | lower competition | low current coverage,100
MM-IN-BAN-025,Indonesia,Java,Bandung,District-3,11.9078,114.4253,63,55,94,76,86,37,62,61,29,68,74,30,0.0,0.0,0.0,50.8,53.8,1,0,1,strong demand | construction momentum | serviceability | lower competition,100
MM-SA-RIY-036,Saudi,KSA,Riyadh,District-6,27.2568,38.4911,54,61,68,62,25,45,62,61,68,73,79,33,0.0,0.0,0.0,46.3,53.2,2,0,2,strong demand | construction momentum | serviceability | low current coverage,100
MM-IN-DEL-009,India,West,Delhi,District-7,18.8272,81.4023,86,66,52,68,21,92,44,69,26,61,61,90,0.0,0.0,0.0,58.4,52.5,2,0,2,high growth | lower competition | low current coverage,100
MM-IN-MUM-010,India,North,Mumbai,District-8,21.7879,76.2716,66,59,31,83,82,39,47,35,70,48,72,77,0.0,0.0,0.0,48.9,51.6,1,0,1,strong demand | high growth | low current coverage,100
